dataset,metric,nfe,ours,kanflow_published,comparable_to_kanflow,incomparability_reason
CAPNO,micro_f1,25,0.5074702555276746,0.4,True,
CAPNO,micro_f1,50,0.5097989541688821,0.4,True,
CAPNO,macro_f1,1,0.49943837905874783,0.54,True,
CAPNO,macro_f1,2,0.4851027897404279,0.54,True,
CAPNO,macro_f1,4,0.4902778543377459,0.54,True,
CAPNO,macro_f1,10,0.49766365733370704,0.54,True,
CAPNO,macro_f1,25,0.5025790504730582,0.54,True,
CAPNO,macro_f1,50,0.5049690729771594,0.54,True,
CAPNO,rr_mae_ms,1,16.69058193866045,20.86,True,
CAPNO,rr_mae_ms,2,17.773923812374036,20.86,True,
CAPNO,rr_mae_ms,4,17.41154842073026,20.86,True,
CAPNO,rr_mae_ms,10,16.10938633588523,20.86,True,
CAPNO,rr_mae_ms,25,14.871180053002751,20.86,True,
CAPNO,rr_mae_ms,50,14.877928543293129,20.86,True,
CAPNO,hr_abs_err,1,17.510532323282543,5.75,True,
CAPNO,hr_abs_err,2,18.072617494349817,5.75,True,
CAPNO,hr_abs_err,4,19.14089272605323,5.75,True,
CAPNO,hr_abs_err,10,19.99498525236436,5.75,True,
CAPNO,hr_abs_err,25,20.28114572957713,5.75,True,
CAPNO,hr_abs_err,50,20.382208001256902,5.75,True,
VitalDB,mae,1,0.40045365062735205,0.56,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,mae,2,0.4041569108856503,0.56,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,mae,4,0.3954362989689168,0.56,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,mae,10,0.39506906915460793,0.56,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,mae,25,0.3963348376137979,0.56,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,mae,50,0.3972398511997319,0.56,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,rmse,1,0.4782243382033566,0.89,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,rmse,2,0.4825321087459665,0.89,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,rmse,4,0.47332030538754616,0.89,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,rmse,10,0.4722136312808121,0.89,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,rmse,25,0.47346758424075724,0.89,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,rmse,50,0.47444873883505134,0.89,False,"amplitude scale: KANFlow z-score only, ours z-score then min-max[-1,1] (2.5-4.7x)"
VitalDB,fid_default_features,1,169.1274783227826,3.04,False,different FD definition; ours is a surrogate feature space
VitalDB,fid_default_features,2,131.43164037514265,3.04,False,different FD definition; ours is a surrogate feature space
VitalDB,fid_default_features,4,126.91557123122834,3.04,False,different FD definition; ours is a surrogate feature space
VitalDB,fid_default_features,10,161.60983986314193,3.04,False,different FD definition; ours is a surrogate feature space
VitalDB,fid_default_features,25,182.83725935371262,3.04,False,different FD definition; ours is a surrogate feature space
VitalDB,fid_default_features,50,189.9455189514505,3.04,False,different FD definition; ours is a surrogate feature space
VitalDB,discrete_frechet,1,0.726420552735712,,False,different FD definition; ours is a surrogate feature space
VitalDB,discrete_frechet,2,0.6800565909548631,,False,different FD definition; ours is a surrogate feature space
VitalDB,discrete_frechet,4,0.6600693189465777,,False,different FD definition; ours is a surrogate feature space
VitalDB,discrete_frechet,10,0.6498594359625638,,False,different FD definition; ours is a surrogate feature space
VitalDB,discrete_frechet,25,0.6492147900365608,,False,different FD definition; ours is a surrogate feature space
VitalDB,discrete_frechet,50,0.6497521622728901,,False,different FD definition; ours is a surrogate feature space
VitalDB,micro_f1,1,0.75158847247497,0.76,True,
VitalDB,micro_f1,2,0.7587475122799542,0.76,True,
VitalDB,micro_f1,4,0.7683317603396874,0.76,True,
VitalDB,micro_f1,10,0.7724763131283333,0.76,True,
VitalDB,micro_f1,25,0.7721399811990852,0.76,True,
VitalDB,micro_f1,50,0.7714820360872805,0.76,True,
VitalDB,macro_f1,1,0.7542395406243211,0.78,True,
VitalDB,macro_f1,2,0.7584849703001922,0.78,True,
VitalDB,macro_f1,4,0.7650576513548897,0.78,True,
VitalDB,macro_f1,10,0.7646205775996926,0.78,True,
VitalDB,macro_f1,25,0.7621094250179927,0.78,True,
VitalDB,macro_f1,50,0.7606800738867914,0.78,True,
VitalDB,rr_mae_ms,1,17.849140353230933,15.24,True,
VitalDB,rr_mae_ms,2,15.93169726768729,15.24,True,
VitalDB,rr_mae_ms,4,14.983790119906812,15.24,True,
VitalDB,rr_mae_ms,10,14.32013210387256,15.24,True,
VitalDB,rr_mae_ms,25,14.158502905281201,15.24,True,
VitalDB,rr_mae_ms,50,14.089950955540681,15.24,True,
VitalDB,hr_abs_err,1,8.018635990119455,0.67,True,
VitalDB,hr_abs_err,2,7.472024203130006,0.67,True,
VitalDB,hr_abs_err,4,7.278770012682474,0.67,True,
VitalDB,hr_abs_err,10,7.396313294561797,0.67,True,
VitalDB,hr_abs_err,25,7.545304068975637,0.67,True,
VitalDB,hr_abs_err,50,7.614059235541174,0.67,True,
